parsha,repeated words
Beshalach,"['העמ', 'הוה', 'שרל', 'על', 'איש', 'הימ', 'את', 'משה', 'בומ', 'לקט', 'צרמ', 'אל']"
Yitro,"['העמ', 'אלמ', 'שרי', 'הוה', 'את', 'אתה', 'משה', 'ואת', 'לא', 'ההר', 'אל', 'דבר', 'אשר']"
Mishpatim,"['אמ', 'הוה', 'בער', 'כל', 'שרל', 'על', 'איש', 'או', 'תחת', 'עבד', 'את', 'שור', 'לו', 'מות', 'אדנ', 'משה', 'פנכ', 'כי', 'ומת', 'לא', 'שלמ', 'השר', 'דבר']"
Terumah,"['טעת', 'אדנ', 'את', 'כפת', 'על', 'ברח', 'עשת', 'ארנ', 'רעה', 'זהב', 'ממנ', 'רעת', 'שכנ', 'פכת', 'תעש', 'חצר', 'זבח', 'קדש', 'מנר', 'נחש', 'קנמ', 'חבת', 'וחצ', 'עדמ', 'כרב', 'תחת', 'קלע', 'אחד', 'עשר', 'קרש', 'אחת']"
Tetzaveh,"['האל', 'ארנ', 'בנו', 'זבח', 'טעת', 'על', 'זהב', 'תעש', 'הפר', 'ועל', 'קדש', 'אפד', 'את', 'כבש', 'שתי', 'ואת', 'אתמ', 'אבנ', 'חשנ', 'אל', 'אשר']"
Ki Tisa,"['ארנ', 'בני', 'אמר', 'הוה', 'כל', 'על', 'לחת', 'קדש', 'את', 'משה', 'כי', 'ואת', 'שבת', 'קול', 'לא', 'חנ', 'אהל', 'פקד', 'אל', 'דבר', 'אשר']"
Vayikra,"['טמא', 'זבח', 'הוה', 'כל', 'עלה', 'להה', 'על', 'הפר', 'או', 'חטת', 'את', 'סלת', 'כהנ', 'אשמ', 'קרב', 'תקב', 'ואת', 'לפנ', 'נתח', 'חלב', 'מנח', 'מנ', 'אשר']"
Tzav,"['האל', 'בשר', 'בנו', 'זבח', 'עלה', 'על', 'ועל', 'קדש', 'את', 'אתו', 'משה', 'קרב', 'אכל', 'ואת', 'משח', 'קבנ', 'נפש', 'חלב', 'אל', 'אשר', 'מנת']"
Shmini,"['טמא', 'זבח', 'הוה', 'על', 'שקצ', 'קדש', 'נבת', 'למנ', 'פרס', 'לכמ', 'את', 'כי', 'ואת', 'הוא', 'שרצ', 'בממ', 'לא', 'גרה', 'אל', 'אשר']"
Emor,"['הוה', 'להה', 'איש', 'קדש', 'או', 'בו', 'את', 'קרב', 'אכל', 'כי', 'לא', 'קרא', 'אל', 'אשר']"
Bamidbar,"['ארנ', 'בני', 'לבנ', 'מאת', 'שפח', 'צבא', 'הוה', 'נשא', 'כל', 'שרל', 'חנו', 'בגד', 'נתנ', 'קדש', 'בכר', 'את', 'שכנ', 'משה', 'רבע', 'ואת', 'הלמ', 'פקד', 'שרת', 'גשנ', 'בנ', 'אלפ']"
Nasso,"['עדת', 'כספ', 'שפח', 'שנמ', 'עשר', 'ראש', 'הוה', 'כל', 'הממ', 'על', 'חמש', 'לכל', 'אחד', 'אשה', 'את', 'כהנ', 'משה', 'אשמ', 'בומ', 'ואת', 'אתמ', 'נזר', 'לא', 'פקד', 'אל', 'בנ']"
Beha'alotcha,"['העמ', 'בני', 'מטה', 'פי', 'צבא', 'הוה', 'כל', 'שרל', 'על', 'חנו', 'סעו', 'להמ', 'ועל', 'פסח', 'עבד', 'את', 'שכנ', 'משה', 'עננ', 'ולא', 'אתמ', 'לפנ', 'נסע', 'הלמ', 'אל', 'לי', 'בנ', 'דבר', 'תקע']"
Sh'lach,"['אמ', 'שגג', 'הוה', 'להה', 'תעש', 'או', 'ההנ', 'את', 'אתו', 'למט', 'כי', 'הוא', 'ארצ', 'נפש', 'תרמ', 'אל', 'בנ', 'אשר']"
Korach,"['עדה', 'ארנ', 'חתת', 'לכ', 'בני', 'עדת', 'מטה', 'הוה', 'כל', 'שרל', 'אדמ', 'נחל', 'קדש', 'היה', 'בכר', 'לכל', 'את', 'משה', 'קרב', 'אהל', 'אל', 'שרת', 'אשר']"
Chukat,"['העמ', 'ארנ', 'טמא', 'אמר', 'באר', 'שרל', 'או', 'את', 'כהנ', 'משה', 'סלע', 'נחש', 'חשנ', 'אל']"
Balak,"['אמר', 'הוה', 'שרל', 'בלק', 'בלע', 'את', 'אתנ', 'ולא', 'לאכ', 'כי', 'לא', 'אל', 'דבר', 'אשר']"
Pinchas,"['עשנ', 'בני', 'מאת', 'שפח', 'עשר', 'נחת', 'הוה', 'תעש', 'אחד', 'אלה', 'את', 'כבש', 'לו', 'רבע', 'לפנ', 'אינ', 'פקד', 'אל', 'נסכ', 'בנ', 'דבר', 'אלפ', 'אשר', 'חדש']"
Devarim,"['הוה', 'כל', 'לכמ', 'את', 'ולא', 'בשנ', 'אשר']"
Vaetchanan,"['אלכ', 'הוה', 'כל', 'שרל', 'את', 'תנת', 'ולא', 'כי', 'לא', 'אלנ', 'דבר', 'אשר']"
Eikev,"['לכ', 'עשה', 'אלכ', 'הוה', 'על', 'לחת', 'את', 'רשת', 'פנכ', 'ואת', 'ארצ', 'לא', 'אל', 'אשר']"
Re'eh,"['אלכ', 'הוה', 'כל', 'או', 'תכל', 'פרס', 'עמכ', 'את', 'לו', 'חלמ', 'ולא', 'כי', 'ואת', 'לא', 'אשר']"
Shoftim,"['לכ', 'נבא', 'אלכ', 'הוה', 'או', 'את', 'כי', 'לא', 'אל', 'דבר', 'אשר']"
Ki Teitzei,"['אחכ', 'לכ', 'בקל', 'אלכ', 'הוה', 'על', 'בכר', 'עבט', '[ע]', 'את', 'לו', 'האש', 'כי', 'נער', 'לא', 'שכב', 'יבא', 'אשר']"
Ki Tavo,"['העמ', 'לכ', 'אלכ', 'אמר', 'הוה', 'כל', 'בכל', 'ברכ', 'את', 'אתה', 'ארר', 'ולא', 'כי', 'לא', 'אשר', 'אמנ']"
Vayeilech,"['כל', 'את', 'כי', 'דבר', 'הוה', 'אשר']"
Vayakhel,"['חכמ', 'רעת', 'עשה', 'חצר', 'כספ', 'הבא', 'עשר', 'חשמ', 'כל', 'על', 'זהב', 'כרב', 'תחת', 'אחד', 'וכל', 'את', 'חשק', 'אדנ', 'שכנ', 'ללת', 'קנמ', 'וחצ', 'ואת', 'קלע', 'קרש', 'ועש', 'כפת', 'ברח', 'רעה', 'ממנ', 'מנר', 'נחש', 'עדמ', 'חשת', 'אחת', 'אשר']"
Pekudei,"['ככר', 'טעת', 'את', 'על', 'אהל', 'ארנ', 'זהב', 'ותנ', 'אדנ', 'שכנ', 'אתו', 'משה', 'שש', 'זבח', 'קדש', 'שבע', 'מאת', 'חשנ', 'מעל', 'שתי', 'מעד', 'ואת', 'נתת', 'אלפ', 'שחת', 'אפד', 'הוה']"
Tazria,"['בער', 'את', 'טהר', 'טמא', 'בשר', 'נגע', 'פשה', 'כהנ', 'בגד', 'לבנ', 'או', 'טרה', 'אל', 'צעת', 'הוא', 'נתק']"
Metzora,"['כבס', 'הזב', 'עלו', 'הבת', 'את', 'צפר', 'על', 'שכב', 'טמא', 'נגע', 'כהנ', 'בגד', 'בבת', 'אל', 'רחצ', 'ערב', 'ואת', 'אבנ', 'שמנ', 'מנ', 'בממ', 'וכל', 'אשר', 'מנת', 'נדת', 'עד']"
Achrei Mot,"['שער', 'כפר', 'זבח', 'הוה', 'כל', 'על', 'תגל', 'בת', 'חטת', 'אשה', 'את', 'אמכ', 'הגר', 'אבכ', 'ואת', 'הוא', 'ארצ', 'לא', 'נפש', 'כפת', 'אני', 'אל', 'ערת', 'אשר']"
Kedoshim,"['את', 'אני', 'מות', 'ולא', 'ואש', 'ערת', 'הוה', 'אשר', 'לא']"
Behar,"['את', 'שבע', 'או', 'מכר', 'כי', 'שנמ', 'עבד', 'שבת', 'גאל', 'עמכ', 'אשר', 'ארצ', 'לא']"
Bechukotai,"['חרמ', 'שקל', 'חרב', 'עשר', 'להה', 'ואפ', 'קדש', 'שדה', 'ואמ', 'והה', 'את', 'כהנ', 'עככ', 'גאל', 'ברת', 'אתכ']"
Matot,"['לבנ', 'מאת', 'הוה', 'כל', 'על', 'אסר', 'שלש', 'וכל', 'אשה', 'את', 'משה', 'ואת', 'ארצ', 'אבה', 'נפש', 'נדר', 'אלפ', 'מנ', 'אשר', 'שמע']"
Masei,"['רצח', 'בני', 'תתנ', 'מטה', 'נחת', 'נשא', 'שרל', 'גבל', 'חנו', 'סעו', 'או', 'לכמ', 'והה', 'את', 'מות', 'למט', 'ואת', 'הוא', 'ומת', 'קלט', 'ארצ', 'ערמ', 'בנ', 'אלפ', 'אשר']"
Nitzavim,"['הומ', 'את', 'בכל', 'כי', 'אלכ', 'הוה', 'אשר']"
